Key,English,Dutch
UI_PVPCONTEST_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.,Arrange the selected Guild member to the lower side.
UI_PVPCONTEST_SELECT_COMPLETE,Complete,Complete
UI_PVPCONTEST_SELECT_COMPLETE_TIP,Complete the entry list.,Complete the entry list.
UI_PVPCONTEST_SELECT_REMAKE,Remake,Remake
UI_PVPCONTEST_SELECT_REMAKE_TIP,Remake the entry list.,Remake the entry list.
UI_PVPCONTEST_SELECT_INFO,Register your team. You can select a maximum of %d participating players. #b#cffff0000You CANNOT change the participating members later after registering.#nc#nb,Register your team. You can select a maximum of %d participating players. #b#cffff0000You CANNOT change the participating members later after registering.#nc#nb
UI_PVPCONTEST_SELECT_ENTRANT_TIP,A maximum of %d members can join the FWC PvP Contest. Choose your best players wisely.,A maximum of %d members can join the FWC PvP Contest. Choose your best players wisely.
UI_PVPCONTEST_SELECTMATCH,Select Match,Select Match
UI_PVPCONTEST_SELECTMATCH_TOOLTIP,Select today's match schedule.,Select today's match schedule.
UI_PVPCONTEST_MATCH_TITLE,Select today's match,Select today's match
UI_PVPCONTEST_MATCH_INFO,"Select today's match schedules. Please note that if you're not here in time, your opponent will receive an #binstant#nb win. You can only pick #bone#nb match per day.","Select today's match schedules. Please note that if you're not here in time, your opponent will receive an #binstant#nb win. You can only pick #bone#nb match per day."
UI_PVPCONTEST_MATCH_SELECT,Select match,Select match
UI_PVPCONTEST_TELEPORT,Your match will start in a few minutes. Do you want to teleport to the match arena? #b#cffff0000Declining means you won't be able to join later.#nc#nb,Your match will start in a few minutes. Do you want to teleport to the match arena? #b#cffff0000Declining means you won't be able to join later.#nc#nb
UI_PVPCONTEST_JOINWAR_RANDOM,Random,Random
UI_PVPCONTEST_JOINWAR_TITLE,Select Entry Zone,Select Entry Zone
UI_PVPCONTEST_JOINWAR_1_TIP,You have entered zone 1.,You have entered zone 1.
UI_PVPCONTEST_JOINWAR_2_TIP,You have entered zone 2.,You have entered zone 2.
UI_PVPCONTEST_JOINWAR_3_TIP,You have entered zone 3.,You have entered zone 3.
UI_PVPCONTEST_JOINWAR_4_TIP,You have entered zone 4.,You have entered zone 4.
UI_PVPCONTEST_JOINWAR_SELECT,Select the zone you wish to enter.,Select the zone you wish to enter.
UI_PVPCONTEST_JOINWAR_MSG,"In %d seconds, you will enter zone %s.","In %d seconds, you will enter zone %s."
UI_PVPCONTEST_SELECTEDMATCH,Your next match will start at: %s,Your next match will start at: %s
UI_STARTERPASS,Starter Pass,Starter Pass
UI_PETPASS,Pet Pass,Pet Pass
UI_PIERCINGPASS,Piercing Pass,Piercing Pass
UI_UPGRADEPASS,Upgrade Pass,Upgrade Pass
UI_ELEMENT_UPGRADEPASS,Element Upgrade Pass,Element Upgrade Pass
UI_PARTYPASS,Party Pass,Party Pass
UI_COSTUMEPASS,Costume Pass,Costume Pass
UI_BATTLEPASS_MISSION_PETSKILL,Use Your Pet's Grace Skill,Use Your Pet's Grace Skill
UI_BATTLEPASS_MISSION_PIERCING,"Attempt Piercing on Weapon, Shield, or Suit","Attempt Piercing on Weapon, Shield, or Suit"
UI_BATTLEPASS_MISSION_ELEMENT_SMELT,Attempt Elemental Upgrade,Attempt Elemental Upgrade
UI_BATTLEPASS_MISSION_ELEMENT_SAFETY_SMELT,Attempt Safe Elemental Upgrade,Attempt Safe Elemental Upgrade
UI_BATTLEPASS_MISSION_ELEMENT_SMELT_SUCCESS,Upgrade Gear Element to %s or Higher,Upgrade Gear Element to %s or Higher
UI_BATTLEPASS_MISSION_NORMAL_SMELT,Attempt Gear or Accessory Upgrade,Attempt Gear or Accessory Upgrade
UI_BATTLEPASS_MISSION_NORMAL_SAFETY_SMELT,Attempt Safe Gear or Accessory Upgrade,Attempt Safe Gear or Accessory Upgrade
UI_BATTLEPASS_MISSION_NORMAL_SMELT_SUCCESS,Upgrade Gear or Accessory to %s or Higher,Upgrade Gear or Accessory to %s or Higher
UI_BATTLEPASS_MISSION_PARTYKILLMONSTER,Kill Normal Monsters in a Party,Kill Normal Monsters in a Party
UI_BATTLEPASS_MISSION_PARTYKILLMONSTER2,Kill %s in a Party,Kill %s in a Party
UI_BATTLEPASS_MISSION_PARTYCLEARDUNGEON,Clear a Dungeon in a Party,Clear a Dungeon in a Party
UI_BATTLEPASS_MISSION_PARTYCLEARDUNGEON2,Clear Dungeon %s in a Party,Clear Dungeon %s in a Party
UI_BATTLEPASS_MISSION_PARTYPOINT,Obtain Party Points,Obtain Party Points
UI_BATTLEPASS_MISSION_COSTUMETRANSMUTATION,Add a Fashion Item to the Wardrobe,Add a Fashion Item to the Wardrobe
UI_BATTLEPASS_MISSION_GETCOSTUME,Obtain a Fashion Item,Obtain a Fashion Item
UI_BATTLEPASS_SAFETYSMELT_ELECARD,(Elemental),(Elemental)
UI_BATTLEPASS_SAFETYSMELT_POWERDICE,(Normal/Accessory),(Normal/Accessory)
UI_BATTLEPASS_MISSION_LEVELUP,Level Up,Level Up
UI_BATTLEPASS_MISSION_LEVELUP2,Reach Level %s,Reach Level %s
UI_BATTLEPASS_MISSION_JOBCHANGE_EXPERT,Complete the 1st Job Change,Complete the 1st Job Change
UI_BATTLEPASS_MISSION_JOBCHANGE_PROFESSIONAL,Complete the 2nd Job Change,Complete the 2nd Job Change
UI_BATTLEPASS_MISSION_SKILLMASTER,Increase a Skill to Max Level,Increase a Skill to Max Level
UI_BATTLEPASS_MISSION_KILLCATCHER,Hunt a Catcher,Hunt a Catcher
UI_BATTLEPASS_MISSION_CRAFTPETCANDY,Craft Pet Candy,Craft Pet Candy
UI_BATTLEPASS_MISSION_CRAFTPETCANDY2,Craft Pet Candy (%s),Craft Pet Candy (%s)
UI_BATTLEPASS_MISSION_JOINGUILD,Join a Guild,Join a Guild
UI_BATTLEPASS_MISSION_JOINPARTY,Join a Party,Join a Party
UI_BATTLEPASS_MISSION_GETPKCHIP,Obtain PK Chips,Obtain PK Chips
UI_BATTLEPASS_MISSION_FLYING,Fly %s km,Fly %s km
UI_BATTLEPASS_MISSION_KILLFLYMONSTER,Defeat Aerial Monsters,Defeat Aerial Monsters
UI_BATTLEPASS_MISSION_ACTIVEBEGINNERBUFF,Ask the Buff Pang for Buffs,Ask the Buff Pang for Buffs
UI_BATTLEPASS_MISSION_USECOMBOSKILL,Perform %s or More Combos Using the Action Slot,Perform %s or More Combos Using the Action Slot
UI_BATTLEPASS_MISSION_ACTIVEEQUIPSET,Wear a Set With a Set Effect,Wear a Set With a Set Effect
UI_BATTLEPASS_MISSION_KALGAS_ASSAULT,Finish a Kalgas Assault Match,Finish a Kalgas Assault Match
UI_BATTLEPASS_INFO2,%s ends at: #b%s#nb (Server Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni,%s ends at: #b%s#nb (Server Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni
UI_BATTLEPASS_INFO3,%s ends at: #b%s#nb (Server Time)\n#iSome rewards are enhanced after reaching level %d.#ni,%s ends at: #b%s#nb (Server Time)\n#iSome rewards are enhanced after reaching level %d.#ni
UI_BATTLEPASS_INFO4,%s ends at: #b%s#nb (Server Time),%s ends at: #b%s#nb (Server Time)
UI_BATTLEPASS_INFO5,The Starter Pass does not expire and is available to all players who purchase it.,The Starter Pass does not expire and is available to all players who purchase it.
UI_QUEST_STARTABLE,Startable,Startable
UI_SUMMERPASS2023,Summer Pass,Summer Pass
UI_APP_SWITCHEQUIP_TIP,View and manage your equipment switches.,View and manage your equipment switches.
UI_APP_SWITCHEQUIP_DELETE,Delete,Verwijder
UI_APP_SWITCHEQUIP_SAVE,Save,Opslaan
UI_APP_SWITCHEQUIP_COPY,Copy Current Equipment,Copy Current Equipment
UI_APP_SWITCHEQUIP_USE,Use,Use
UI_APP_SWITCHEQUIP_TITLE,Name ,Name 
UI_APP_SWITCHEQUIP_SWITCHLIST,Presets,Presets
UI_APP_SWITCHEQUIP_ERROR_NAME,You must enter a preset name!,You must enter a preset name!
UI_APP_SWITCHEQUIP_ERROR_NAMEFORMAT,The preset name you entered is invalid!,The preset name you entered is invalid!
UI_APP_SWITCHEQUIP_NEWSWITCH,Create new,Create new
UI_APP_SWITCHEQUIP_SHORTCUT,Taskbar shortcut (drag and drop),Taskbar shortcut (drag and drop)
UI_APP_SWITCHEQUIP_PRESETNAME,Preset Name,Preset Name
UI_APP_SWITCHEQUIP_DELETE_TEXT,Are you sure you want to delete the %s preset?,Are you sure you want to delete the %s preset?
UI_APP_SWITCHEQUIP_DELETE_SELECT,You need to select a preset.,You need to select a preset.
UI_BATTLEPASS_MISSION_UNSAFETYALL,Attempt Upgrade or Piercing,Attempt Upgrade or Piercing
UI_LEVEL_REQUIRED,Available after level %d.,Available after level %d.
UI_QUEST_KILLSTEP_RWD,%d Monsters defeated: %s,%d Monsters defeated: %s
UI_QUEST_REWARDSTEP_ITEM,%s(%d),%s(%d)
UI_QUEST_KILLSTEP_COND,Defeat monsters (%d/%d),Defeat monsters (%d/%d)
UI_PVPCONTEST_TELEPORT_AUTOCLOSE,You have %d seconds to join.,You have %d seconds to join.
UI_PVPCONTEST_RANKING_DAILY,Today's Matches,Today's Matches
UI_PVPCONTEST_RANKING_PRELIMINARY,Preliminary,Preliminary
UI_PVPCONTEST_RANKING_BACKUP,Back-up,Back-up
UI_PVPCONTEST_RANKING_FINALS,Finals,Finals
UI_PVPCONTEST_RANKING_DESC,"This contains all the ranking data for the current FWC PvP Contest.\nIf only one guild has showed up in the preliminary's ranking, then that means it had no opponent!\n#b#uClick on a guild to see the participating players stats.#nu#nb","This contains all the ranking data for the current FWC PvP Contest.\nIf only one guild has showed up in the preliminary's ranking, then that means it had no opponent!\n#b#uClick on a guild to see the participating players stats.#nu#nb"
UI_PVPCONTEST_RANKING_TITLE,FWC PvP Contest Ranking,FWC PvP Contest Ranking
UI_PVPCONTEST_RANKING_RANKING,Ranking,Ranking
UI_PVPCONTEST_RANKING_RANK,Rank,Rank
UI_PVPCONTEST_RANKING_GUILDNAME,Guild Name,Guild Naam
UI_PVPCONTEST_RANKING_POINTS_TOOLTIP,Points,Points
UI_PVPCONTEST_RANKING_KILLS_TOOLTIP,Kills,Kills
UI_PVPCONTEST_RANKING_DEATHS_TOOLTIP,Deaths,Deaths
UI_APP_INFO_PANG_HIDE,You can summon Info-Pang again via Menu > Helper > Info-Pang.,You can summon Info-Pang again via Menu > Helper > Info-Pang.
UI_APP_INFO_PANG_LIST,You can view this information again if you click Info-Pang > Right Click > Check the List.,You can view this information again if you click Info-Pang > Right Click > Check the List.
UI_PVPCONTEST_MATCHLIST_INFO,Here you can select a match and spectate it. #bNote: you will be invisible for participating players and will only be able to communicate with others spectators.#nb,Here you can select a match and spectate it. #bNote: you will be invisible for participating players and will only be able to communicate with others spectators.#nb
UI_PVPCONTEST_SPECTATE_INFO,Do you want to spectate that match? You will get teleported in the match arena.,Do you want to spectate that match? You will get teleported in the match arena.
UI_SERVERTRANSFER_TITLE,Server Transfer,Server Transfer
UI_SERVERTRANSFER_MSG,Select server:,Select server:
UI_SERVERTRANSFER_BASE_DESC,Select the server you want to transfer your character to. Please check our website for the exact transfer rules.,Select the server you want to transfer your character to. Please check our website for the exact transfer rules.
UI_SERVERTRANSFER_DESC,Note that transfer requests are done periodically so the transfer is not immediate after using the scroll.,Note that transfer requests are done periodically so the transfer is not immediate after using the scroll.
UI_SERVERTRANSFER_FWC_TITLE,FWC Server Transfer,FWC Server Transfer
UI_SERVERTRANSFER_FWC_DESC,"Select the server you want to transfer your character to. The transfer will take place after the FWC server closes, and you can still play on your character until then. If you're not sure where you want to transfer, you can close this window and choose the next time you log in. Once you confirm your server, you can't change your choice.","Select the server you want to transfer your character to. The transfer will take place after the FWC server closes, and you can still play on your character until then. If you're not sure where you want to transfer, you can close this window and choose the next time you log in. Once you confirm your server, you can't change your choice."
UI_PVPCONTEST_SPECTATE_CAMERAMODE_1,Free Camera,Free Camera
UI_PVPCONTEST_SPECTATE_CAMERAMODE_2,Normal Camera,Normal Camera
UI_PVPCONTEST_SPECTATE_LEAVE,Leave spectating,Leave spectating
UI_PVPCONTEST_SPECTATE_TITLE,Spectating Settings,Spectating Settings
UI_FULLSCREEN_ERROR,Fullscreen is not available. If you use Safari press Share > Add to Home Screen and launch the game from your App List.,Fullscreen is not available. If you use Safari press Share > Add to Home Screen and launch the game from your App List.
UI_PVPCONTEST_RANKING_FINALISTS,Finalists,Finalists
UI_SERVERTRANSFER_CONFIRM,Are you sure you want to transfer your character to %s? You cannot change your choice after confirming.,Are you sure you want to transfer your character to %s? You cannot change your choice after confirming.
UI_RPS_INFO,RPS Game\nYou can use the Global Limited Gacha only if you win.,RPS Game\nYou can use the Global Limited Gacha only if you win.
UI_GACHA_DESC_GLOBAL_DAILY,"When opening the Random Gacha, you will receive one of the items listed below.\nThe prize pool is shared among all players on the server and each item has a limited quantity.\nThe pool resets at 00:00 server time.","When opening the Random Gacha, you will receive one of the items listed below.\nThe prize pool is shared among all players on the server and each item has a limited quantity.\nThe pool resets at 00:00 server time."
UI_RPS_REWARD_TITLE,Result,Result
UI_RPS_REWARD_TEXT,Would you like to accept the item?,Would you like to accept the item?
UI_RPS_REWARD_ACCEPT,Accept,Aanvaarden
UI_RPS_REWARD_DECLINE,Decline,Afwijzen
UI_RPS_TITLE,Rock Paper Scissors,Rock Paper Scissors
UI_RPS_VS,VS,VS
UI_RPS_DEFEAT,You Lose!,You Lose!
UI_RPS_PAPER,Paper,Papier
UI_RPS_ROCK,Rock,Steen
UI_RPS_SCISSORS,Scissors,Schaar
UI_RPS_WIN_TITLE,You Win!,You Win!
UI_GACHA_ACCEPT,Accept,Aanvaarden
UI_GACHA_DECLINE,Decline,Afwijzen
UI_MSGBOX_PASTE,Paste,Paste
UI_MSGBOX_CUT,Cut,Cut
UI_GUILDBUFF_LEVEL,Activated Buff Level,Activated Buff Level
UI_GUILDBUFF_NEXTLEVEL,Next Level %s / %s,Next Level %s / %s
UI_GUILDBUFF_DONATE,Donation,Donation
UI_GUILDBUFF_TAB_LIST,Buff Information,Buff Information
UI_GUILDBUFF_TAB_TOKENS,Token Donation,Token Donation
UI_TOOLTIP_DST_DROP_EXP,Monster EXP and Drop,Monster EXP and Drop
UI_GUILD_TAB_BUFFS,Guild Buff,Guild Buff
UI_TOOLTIP_DST_SPEED_ALL,Attack & Casting Speed,Attack & Casting Speed
UI_GUILDBUFF_MEMBER,Member,Member
UI_GUILDBUFF_NONE,There is no donation yet. ,There is no donation yet. 
UI_TOOLTIP_BUYREQLV,Purchase requirement is level %d or higher,Purchase requirement is level %d or higher
UI_COSTUME_BOX_ITEM,Costume Box,Costume Box
UI_COSTUME_BOX_MATERIAL,Repair Hammer,Repair Hammer
UI_COSTUME_BOX_UPGRADE_PROB,Success: #b%s#nb,Success: #b%s#nb
UI_COSTUME_BOX_DECREASED,The Costume Box Upgrade Level has decreased,The Costume Box Upgrade Level has decreased
UI_MATERIAL_COUNT,%s x%d,%s x%d
UI_PURCHASE_LIMIT,Purchase Limit: %d / %d,Purchase Limit: %d / %d
UI_FITTINGROOM_BG,Background,Background
UI_OPTION_PRECISECURSOR,Pixel-Perfect Cursor Selection,Pixel-Perfect Cursor Selection
UI_WEBVIEW_OPEN,Please open your web browser to continue.,Open uw webbrowser om door te gaan.
UI_BATTLEPASS_JAN,January %d Pass,Januari %d Pass
UI_BATTLEPASS_FEB,February %d Pass,Februari %d Pass
UI_BATTLEPASS_MAR,March %d Pass,Maart %d Pass
UI_BATTLEPASS_APR,April %d Pass,April %d Pass
UI_BATTLEPASS_MAY,May %d Pass,Mei %d Pass
UI_BATTLEPASS_JUN,June %d Pass,Juni %d Pass
UI_BATTLEPASS_JUL,July %d Pass,Juli %d Pass
UI_BATTLEPASS_AUG,August %d Pass,Augustus %d Pass
UI_BATTLEPASS_SEP,September %d Pass,September %d Pass
UI_BATTLEPASS_OCT,October %d Pass,Oktober %d Pass
UI_BATTLEPASS_NOV,November %d Pass,November %d Pass
UI_BATTLEPASS_DEC,December %d Pass,December %d Pass
UI_BATTLEPASS_MISSION_CONSECUTIVE_LOGIN,Log In for %s Consecutive Days,Log In for %s Consecutive Days
UI_BATTLEPASS_INFO6,%s ends at: #b%s#nb (UTC Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni\n#iSome rewards are enhanced after reaching level %d.#ni,%s ends at: #b%s#nb (UTC Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni\n#iSome rewards are enhanced after reaching level %d.#ni
UI_BATTLEPASS_INFO7,%s ends at: #b%s#nb (UTC Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni,%s ends at: #b%s#nb (UTC Time)\nWeekly points limit: #b%d / %d#nb\n#iPoints earned from Season missions are not counted toward the weekly limit.#ni
UI_BATTLEPASS_INFO8,%s ends at: #b%s#nb (UTC Time)\n#iSome rewards are enhanced after reaching level %d.#ni,%s ends at: #b%s#nb (UTC Time)\n#iSome rewards are enhanced after reaching level %d.#ni
UI_BATTLEPASS_INFO9,%s ends at: #b%s#nb (UTC Time),%s ends at: #b%s#nb (UTC Time)
UI_REMOTE_SHOP_TITLE,Remote Shop,Remote Shop
UI_HALLOWEENPASS,Halloween Pass,Halloween Pass
UI_PURCHASE_BANK_EXTRA_BAG,Purchase Extra Bag,Purchase Extra Bag
UI_SEARCH_BANK_EXTRA_BAG,Bank Extra Bag,Bank Extra Bag
UI_EXTRA_BAG_FMT,Bank Extra Bag Time Remaining: %s,Bank Extra Bag Time Remaining: %s
UI_RAINBOWRACE_ITEMS,Rainbow Items,Rainbow Items
UI_RAINBOWRACE_ITEMS_INFO,Fly through items throughout the race to use them against others!,Fly through items throughout the race to use them against others!
UI_RAINBOWRACE_POINTS,Rank %d / %d (%d points),Rank %d / %d (%d points)
UI_RAINBOWRACE_FARWARNING,You've received a speed penalty for leaving the track - return now or you'll be disqualified!,You've received a speed penalty for leaving the track - return now or you'll be disqualified!
UI_RAINBOWRACE_SPEEDMULTI,Current speed multiplier: %d,Current speed multiplier: %d
UI_RAINBOWRACE_APP_TITLE,Rainbow Race Application,Rainbow Race Application
UI_RAINBOWRACE_APP_CONFIRM,Registering costs %lld Penya. Continue?,Registering costs %lld Penya. Continue?
UI_RAINBOWRACE_APP_CURRENT,Registered Applicants: %d,Registered Applicants: %d
UI_RAINBOWRACE_APP_FEE,Application Fee: %lld Penya,Application Fee: %lld Penya
UI_RAINBOWRACE_APP_TIP,Register for the Rainbow Race,Register for the Rainbow Race
UI_RAINBOWRACE_RANKING_TIP,View the rankings of the previous race.,View the rankings of the previous race.
UI_RAINBOWRACE_APP_DISABLE_TIP,Registration is not currently open.,Registration is not currently open.
UI_RAINBOWRACE_APP_TIMELEFT,Next Race: ,Next Race: 
UI_CREATEULTIMATEWEAPON_TITLE,Create Ultimate Weapon,Create Ultimate Weapon
UI_CREATEULTIMATEWEAPON_DETAIL,"Level 150+ Unique weapons can be converted into Ultimate weapons.\nTo convert, your unique weapon must be upgraded to +10, and you must provide 3 Shining Oricalkums, 3 Ultimate Orbs, and 100,000,000 Penya. Ultimate weapons retain all elemental upgrades, piercings, and stats upon conversion.","Level 150+ Unique weapons can be converted into Ultimate weapons.\nTo convert, your unique weapon must be upgraded to +10, and you must provide 3 Shining Oricalkums, 3 Ultimate Orbs, and 100,000,000 Penya. Ultimate weapons retain all elemental upgrades, piercings, and stats upon conversion."
UI_CREATEULTIMATEWEAPON_CONFIRM,Confirm Ultimate weapon conversion?,Confirm Ultimate weapon conversion?
UI_CREATEULTIMATEWEAPON_ERROR_ITEM,This item cannot be made Ultimate.,This item cannot be made Ultimate.
UI_CREATEULTIMATEWEAPON_ERROR_UPGRADELEVEL,You can only convert +10 weapons.,You can only convert +10 weapons.
UI_ULTIMATECONVERTIBLE,Can be converted to Ultimate,Can be converted to Ultimate
UI_ULTIMATE_RANDOMSTAT,Random Ultimate Stats,Random Ultimate Stats
UI_RESTAT_TITLE,Re-Stat,Re-Stat
UI_RESTATC_DESC,Do you wish to apply the Fixed Stat upgrade to the following item?\n(%s),Do you wish to apply the Fixed Stat upgrade to the following item?\n(%s)
UI_RESTATR_DESC,Do you wish to apply the Random Stat upgrade to the following item?\n(%s),Do you wish to apply the Random Stat upgrade to the following item?\n(%s)
UI_RESTATR2_DESC,Do you wish to apply the Random Special Option upgrade to the following item?\n(%s),Do you wish to apply the Random Special Option upgrade to the following item?\n(%s)
UI_ITEM_UPGRADE_PUT,Please input an item which you want to upgrade.,Please input an item which you want to upgrade.
UI_MATERIAL_ITEM_PUT,Please input a material item first.,Please input a material item first.
UI_ELEMENT_UPGRADE_ERROR_ITEM,This item cannot be used.,This item cannot be used.
UI_ULTIMATE_UPGRADE_UNSAFE,"Without a Scroll of XProtect, the item will be destroyed if upgrading fails.","Without a Scroll of XProtect, the item will be destroyed if upgrading fails."
UI_MATERIAL_NAME,%s x%d,%s x%d
UI_MATERIAL_NAME_PLACEHOLDER,Material,Material
UI_PROTECTION_SCROLL_PLACEHOLDER,Protection Scroll,Protection Scroll
UI_ULTIMATE_PREFIX,[Ultimate],[Ultimate]
UI_TOOLTIP_DST_LAST_STAND,Last Stand Chance,Last Stand Chance
UI_TOOLTIP_DST_RIP_REFLEX,Riposte Reflex Chance,Riposte Reflex Chance
UI_TOOLTIP_DST_PRANK_ESCAPE,Prankster's Escape Chance,Prankster's Escape Chance
UI_TOOLTIP_DST_HEAL_GRACE,Healing Grace Chance,Healing Grace Chance
UI_TOOLTIP_DST_SPIRITUAL_CHARGE,Spiritual Overcharge Chance,Spiritual Overcharge Chance
UI_TOOLTIP_DST_AURABURST,Aura Burst Chance,Aura Burst Chance
UI_TOOLTIP_DST_WATERBOMB,Waterbomb Chance,Waterbomb Chance
UI_TOOLTIP_DST_SLOW_RATE,Dmg Slow Rate,Dmg Slow Rate
UI_TOOLTIP_DST_ARCANE,Arcane Insight Chance,Arcane Insight Chance
UI_MSGBOX_DISMANTLE,Dismantle,Dismantle
UI_PLAYERHOUSINGBUY_TITLE,Select House Template,Select House Template
UI_PLAYERHOUSINGBUY_INFO,Select a template for your house.\n\n#b#cffff0000Changing your house template will remove all currently placed decorations and NPCs! Save them to a preset to restore them later.#nc#nb,Select a template for your house.\n\n#b#cffff0000Changing your house template will remove all currently placed decorations and NPCs! Save them to a preset to restore them later.#nc#nb
UI_PLAYERHOUSINGBUY_CONFIRM,Select Template,Select Template
UI_PLAYERHOUSINGBUY_MSGBOX_INFO,"Select this template?\n#bNote:#nb If you already own a house, this action will remove all currently placed decorations and NPCs.","Select this template?\n#bNote:#nb If you already own a house, this action will remove all currently placed decorations and NPCs."
UI_PLAYERHOUSINGVISIT_TITLE,Visit a Friend's House,Visit a Friend's House
UI_PLAYERHOUSINGVISIT_INFO,Select a friend to visit. Only friends who are online and allow you to visit are listed here.,Select a friend to visit. Only friends who are online and allow you to visit are listed here.
UI_MESSENGER_MENU_HOUSINGVISIT_ALLOW,Allow house visits,Allow house visits
UI_MESSENGER_MENU_HOUSINGVISIT_DENY,Deny house visits,Deny house visits
UI_GACHA_DESC_HOUSING,You will receive the following housing objects.,You will receive the following housing objects.
UI_PLAYERHOUSINGVISIT_CONFIRM,Visit House,Visit House
UI_HOUSINGSETUP_OBJECTSLIST,House inventory,House inventory
UI_HOUSINGSETUP_EDITIONMODE,Toggle edit,Toggle edit
UI_HOUSINGSETUP_RESET,Remove all objects,Remove all objects
UI_HOUSINGSETUP_RESET_MSGBOX_INFO,Return all placed housing objects to your house inventory? #bYou can place them again later.#nb,Return all placed housing objects to your house inventory? #bYou can place them again later.#nb
UI_HOUSINGSETUP_PLACE_CONFIRM,Place Object,Place Object
UI_HOUSINGSETUP_PLACE_INFO,"Select a housing object and click Place Object, then:- Use the mouse wheel to rotate it\n- Hold the mouse wheel and move the mouse left/right to resize it\n- Left-click to finalize placement","Select a housing object and click Place Object, then:- Use the mouse wheel to rotate it\n- Hold the mouse wheel and move the mouse left/right to resize it\n- Left-click to finalize placement"
UI_TOOLTIP_HOUSENPC,"When placed, this house NPC grants the following bonuses:","When placed, this house NPC grants the following bonuses:"
UI_HOUSINGSETUP_OBJECTS,Decorations,Decorations
UI_HOUSINGSETUP_NPCS,NPCs,NPCs
UI_HOUSINGSETUP_FILTER_HDR,Filter,Filter
UI_HOUSINGSETUP_FILTER_HDR_ALL,All,All
UI_HOUSINGSETUP_FILTER_TREE,Trees,Trees
UI_HOUSINGSETUP_FILTER_OTHER,Other,Other
UI_GUILDHOUSINGBIDS_INFO,"You can place a bid on this Guild Ship. In #b#u%s#nb#nu, the guild with the highest bid will gain ownership of this Guild Ship. \n\n#b#uNote:#nu#nb \n- You can only bid on one Guild Ship at a time. \n- The Penya used to place a bid is taken from your Guild Bank. \n- You can increase your bid at any time before the bidding period ends.","You can place a bid on this Guild Ship. In #b#u%s#nb#nu, the guild with the highest bid will gain ownership of this Guild Ship. \n\n#b#uNote:#nu#nb \n- You can only bid on one Guild Ship at a time. \n- The Penya used to place a bid is taken from your Guild Bank. \n- You can increase your bid at any time before the bidding period ends."
UI_GUILDHOUSINGBIDS_HDR,Guild Bids,Guild Bids
UI_GUILDHOUSINGBIDS_PLACE,Place Bid,Place Bid
UI_GUILDHOUSINGBIDS_MSGBOX_INFO,Enter the amount you wish to bid. #b#uBids are placed using Penya from your Guild Bank.#nu#nb,Enter the amount you wish to bid. #b#uBids are placed using Penya from your Guild Bank.#nu#nb
UI_GUILDHOUSINGBIDS_EMPTY,There are currently no bids for this Guild Ship.,There are currently no bids for this Guild Ship.
UI_MAP_SHIP_TELEPORT,Teleport to Your Guild Ship,Teleport to Your Guild Ship
UI_MAP_SHIP_TOOLTIP_OWNED,%s's Guild Ship,%s's Guild Ship
UI_GUILD_TAB_HOUSING,Ship,Ship
UI_GUILD_TAB_HOUSING_NEXTARTIFACTHDR,Next Artifact Placement:,Next Artifact Placement:
UI_GUILD_TAB_HOUSING_PLACEARTIFACTHDR,Time Remaining to Select the Artifact Position:,Time Remaining to Select the Artifact Position:
UI_GUILD_TAB_HOUSING_TELEPORT,Teleport to Ship,Teleport to Ship
UI_GUILD_TAB_HOUSING_BONUSESHDR,Current Guild Ship Bonuses,Current Guild Ship Bonuses
UI_GUILDHOUSINGARTIFACT_MSGBOX_INFO,Are you sure you want your guild's artifact to spawn here? #b#cffff0000Note: A %s Penya fee will be taken from your guild's bank.#nc#nb,Are you sure you want your guild's artifact to spawn here? #b#cffff0000Note: A %s Penya fee will be taken from your guild's bank.#nc#nb
UI_GUILD_POWER_GUILDHOUSE,Guild Ship Management,Guild Ship Management
UI_MAP_GHARTIFACT_TOOLTIP,A Guild Ship Artifact is somewhere here...,A Guild Ship Artifact is somewhere here...
UI_GUILD_TAB_HOUSING_NOOWNED,Your guild does not own a Guild Ship.,Your guild does not own a Guild Ship.
